date,Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
12/5/2015,0,0,0,0,0,1,0,0,0,0,13783,3922,17705
12/6/2015,0,0,0,0,0,0,1,0,0,0,11292,2817,14109
12/7/2015,1,0,0,0,0,0,0,0,0,0,12127,3228,15355
12/8/2015,0,1,0,0,0,0,0,0,0,0,12768,3509,16277
12/9/2015,0,0,1,0,0,0,0,0,0,0,13063,3838,16901
12/10/2015,0,0,0,1,0,0,0,0,0,0,13545,4075,17620
12/11/2015,0,0,0,0,1,0,0,0,0,0,13825,4418,18243
12/12/2015,0,0,0,0,0,1,0,0,0,0,14510,4433,18943
12/13/2015,0,0,0,0,0,0,1,0,0,0,10630,2799,13429
12/14/2015,1,0,0,0,0,0,0,0,0.33,0,12128,3319,15447
12/15/2015,0,1,0,0,0,0,0,0,0.09,0,13166,3522,16688
12/16/2015,0,0,1,0,0,0,0,0,0.04,0,13967,4064,18031
12/17/2015,0,0,0,1,0,0,0,0,1.21,0,14178,5138,19316
12/18/2015,0,0,0,0,1,0,0,0,0,0,14654,4915,19569
12/19/2015,0,0,0,0,0,1,0,0,0,0,13770,4204,17974
12/20/2015,0,0,0,0,0,0,1,0,0,0,11044,2915,13959
12/21/2015,1,0,0,0,0,0,0,0,0,0,11672,2922,14594
12/22/2015,0,1,0,0,0,0,0,0,0.19,0,12117,3369,15486
12/23/2015,0,0,1,0,0,0,0,0,1.55,0,10606,3533,14139
12/24/2015,0,0,0,1,0,0,0,0,0.01,0,8485,1829,10314
12/25/2015,0,0,0,0,1,0,0,0,0.01,1,4646,1089,5735
12/26/2015,0,0,0,0,0,1,0,0,0,0,6338,1307,7645
12/27/2015,0,0,0,0,0,0,1,0,0.12,0,7261,1697,8958
12/28/2015,1,0,0,0,0,0,0,0,0.03,0,9109,2215,11324
12/29/2015,0,1,0,0,0,0,0,0,0.45,0,9956,2452,12408
12/30/2015,0,0,1,0,0,0,0,0,0.19,0,10068,2636,12704
12/31/2015,0,0,0,1,0,0,0,0,0.03,0,11056,2783,13839
1/1/2016,0,0,0,0,1,0,0,0,0,1,10699,2559,13258
1/2/2016,0,0,0,0,0,1,0,0,0,0,8748,2217,10965
1/3/2016,0,0,0,0,0,0,1,0,0,0,7905,1899,9804
1/4/2016,1,0,0,0,0,0,0,0,0,0,9637,2562,12199
1/5/2016,0,1,0,0,0,0,0,0,0,0,11244,3116,14360
